,geo,text,user,location
73,, Big Blunder: Virender Sehwag HITS OUT At Poor Umpiring As #KXIP Lose in #SuperOver | #WATCH VIDEO …,ALLU_PRUDHVI_,"Kakinada, India"
74,, Virender Sehwag was livid over the poor umpiring. #VirenderSehwag #IPL2020 #DCvKXIP #Cricket #CricTracker (Photo Sou…,ALLU_PRUDHVI_,"Kakinada, India"
75,, The on-field #Umpire made a terrible decision during d #IPL2020 match b/w Delhi &amp; Punjab. He declared a short-run whereas…,ALLU_PRUDHVI_,"Kakinada, India"
76,, 'Umpire should have been Man of the Match' #VirenderSehwag#cricket #IPL2020 #DCvKXIP #Dream11IPL …,ALLU_PRUDHVI_,"Kakinada, India"
77,, #ipl2020 #DCvKXIP*preity zinta after giving script to #KXIP players* ,MrKavi_dev,
78,,Did  deserve to win against  ?My analysis shows that #DC performed 7% better during nor… ,PKSoans,"Borehamwood, East"
79,,In the match KXIP vs DC the umpire said shot run because of that kxip was defeated the match otherwise they can win… ,NaniViriyala,"Andhra Pradesh, India"
80,," #VirenderSehwag, #PreityZinta blast umpires over #ChrisJordan's controversial one-run short in #IPL2020 .....#DCvKXIP #IPLin…",Raushankashya11,"Bihar, India"
81,, Ashwin has gone off the field injured 😓We really hope this isn't too serious 🤞🏻KXIP - 35/3 (6.2 overs)#DCvKXIP #Dr…,NaniNaaPeru1,
82,, Here is my #IPL2020 upcoming 5 MatchesPREMIUM LINE SCHEDULE.1. #̶M̶I̶v̶C̶S̶K̶_̶P̶R̶E̶M̶I̶U̶M̶2.#̶D̶C̶v̶K̶X̶I̶P̶_̶P̶…,Papai72466424,
83,, Most Runs in DC Vs KXIP matches330 - Virender Sehwag322 - David Miller245 - Shreyas Iyer ⚡️245 - David Warner238…,imgautianraj,"Nizamabad, India"
84,,"Surprise, surprise! We have a tie between Team Delhi and Team Punjab. We are going into a SUPER OVER!You have 1 h… ",TheBridge_IN,India
85,, #IPL2020 Viewership on Hotstar (Highest During a match)#MIvCSK: 8.1 MILLION#DCvKXIP: 4.2 MILLION#RCBvSRH: 5.2 MILL…,princeharishraj,"Bengaluru, India"
86,, #IPL2020 working out big time for  #CSKvMI #DCvKXIP #RCBvSRH ,vinayram_,
87,, . is back with another set of five questions for Matchday 2 of #IPL2020. Get the right answers and stan…,RuchikaJain89,Surat
88,,"  1.Virender Sehwag2.Sandeep Lamichane3.Gulam Bodi4. Cottrell ""Salute""5.Stuart Br… ",RuchikaJain89,Surat
89,, Here is my #IPL2020 upcoming 5 MatchesPREMIUM LINE SCHEDULE.1. #̶M̶I̶v̶C̶S̶K̶_̶P̶R̶E̶M̶I̶U̶M̶2.#̶D̶C̶v̶K̶X̶I̶P̶_̶P̶…,yograj_gowda,
90,, Here is my #IPL2020 upcoming 5 MatchesPREMIUM LINE SCHEDULE.1. #̶M̶I̶v̶C̶S̶K̶_̶P̶R̶E̶M̶I̶U̶M̶2.#̶D̶C̶v̶K̶X̶I̶P̶_̶P̶…,Akki_pnkj_08,Chand pe
91,, A dream debut for Ravi Bishnoi in the #IPL2020! 🙌Content courtesy:  #SaddaPunjab #WakhraSquad #DCvKXIP…,PreityZintaPeru,"Lima, Peru"
92,, Give it up for Magical Mayank ✨#SaddaPunjab #WakhraSquad #IPL2020 #DCvKXIP  ,Prashant_In123,INDIA
93,," #CaptainPunjab and boys, let's chase this down 💪Follow LIVE updates 👉🏻  #SaddaPunjab #WakhraSq…",Prashant_In123,INDIA
94,, Here is my #IPL2020 upcoming 5 MatchesPREMIUM LINE SCHEDULE.1. #̶M̶I̶v̶C̶S̶K̶_̶P̶R̶E̶M̶I̶U̶M̶2.#̶D̶C̶v̶K̶X̶I̶P̶_̶P̶…,JaiAgar17962220,
95,, Here is my #IPL2020 upcoming 5 MatchesPREMIUM LINE SCHEDULE.1. #̶M̶I̶v̶C̶S̶K̶_̶P̶R̶E̶M̶I̶U̶M̶2.#̶D̶C̶v̶K̶X̶I̶P̶_̶P̶…,PRASHAN92444732,
96,," 🧘‍♀️➡️🪑Dilliwalon, wear your thinking 🧢, it's time to sit on the captain's chair and predict the XI tigers to kick-sta…",Anilbishnoi9352,"Jaipur, India"
97,, 📹 | ’s thoughts on last night's encounter! 👇#SaddaPunjab #WakhraSquad #DCvKXIP #IPL2020 …,Madhank26820307,Palani
98,, Heads held high ✌🏻  #SaddaPunjab #WakhraSquad #IPL2020 #DCvKXIP ,Madhank26820307,Palani
99,, How many salutes for his performance last night? 😎#SaddaPunjab #WakhraSquad #DCvKXIP #IPL2020   https:/…,Madhank26820307,Palani
100,, DC Admin's dinner tonight 👉🏻 Khayali Pulao 🤔#DCvKXIP #Dream11IPL #IPL2020 #YehHaiNayiDilli ,mandalokesh,India
101,,"   1.Virender Sehwag2.Sandeep Lamichane3.Gulam Bodi4. Cottrell ""Salute""5.Stuart Broad…",milithebot,
102,,"  1.Virender Sehwag2.Sandeep Lamichane3.Gulam Bodi4. Cottrell ""Salute""5.Stuart Br… ",Aaditri29,"Delhi,India "
103,, #IPL2020 Viewership on Hotstar (Highest During a match)#MIvCSK: 8.1 MILLION#DCvKXIP: 4.2 MILLION#RCBvSRH: 5.2 MILL…,RavitejaPrince8,
104,, Chhole Bature vs Chhole Bature #IPL2020 #DCvKXIP #SaddaPunjab v DelhiCapitals,GaffarAsadi,
105,, Mayank Agarwal's splendid knock went in vain as KXIP lost the super over. #IPL2020 #DCvKXIP ,ManhasRommy,
106,, IPL= Talent meets Opportunity. Ravi Bishnoi has further confirmed what we thought of him. Temperament is impressive. Ski…,The_DL_Bishnoi_,"Jaisalmer, India"
107,, Listen in to sadda debutant who returned with some decent bowling figures tonight! 👇#SaddaPunjab #WakhraSquad #DCvKXIP…,The_DL_Bishnoi_,"Jaisalmer, India"
108,, Here is my #IPL2020 upcoming 5 MatchesPREMIUM LINE SCHEDULE.1. #̶M̶I̶v̶C̶S̶K̶_̶P̶R̶E̶M̶I̶U̶M̶2.#̶D̶C̶v̶K̶X̶I̶P̶_̶P̶…,Bayezid27197691,
109,, The #NorthernDerby is NOT FOR THE WEAK-HEARTED  😅Bring on the Super Over 👊🏻#DCvKXIP #Dream11IPL #IPL2020 #YehHaiNayi…,SunilG01858933,
